FACILITY_ID,STATUS,FACILITY_NAME,RECORD_ID,PROGRAM_NAME,PROGRAM_ELEMENT__PE_,PE_DESCRIPTION,FACILITY_ADDRESS,FACILITY_CITY,FACILITY__STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,OWNER_ID,OWNER_NAME,OWNER_ADDRESS,OWNER_CITY,OWNER_STATE,OWNER_ZIP,Location,ObjectId
FA0300449,Open,7-ELEVEN #13846D,PR0257674,7-ELEVEN #13846D,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11007 VENTURA BLVD,STUDIO CITY,CA,91604,None,None,OW0283684,CHAHAL AND SONS INC.,PO BOX 219088,DALLAS,TX,75221,None,2
FA0299387,Open,7-ELEVEN #16933B,PR0256483,7-ELEVEN #16933B,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",4323 E LIVE OAK AVE,ARCADIA,CA,91006,None,None,OW0282201,DARSH ENTERPRISE INC,PO BOX 219088,DALLAS,TX,75221,None,3
FA0302694,Open,7-ELEVEN 20958H,PR0260347,7-ELEVEN 20958H,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6766 TAMPA,RESEDA,CA,91335,None,None,OW0001222,7-ELEVEN INC,PO BOX 219088,DALLAS,TX,75221,None,4
FA0298827,Open,7-ELEVEN STORE 41641A,PR0255840,7-ELEVEN STORE 41641A,1611,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",837 S PRAIRIE AVE,INGLEWOOD,CA,90301,None,None,OW0251346,"L.A.BASIX, INC",P.O. BOX 219088,DALLAS,TX,75221,None,5
FA0271366,Open,99 CENT PLUS,PR0224067,99 CENT PLUS,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1111 PACIFIC COAST HWY # 12,HARBOR CITY,CA,90710,34,-118,OW0261238,GSN LLC,1111 PACIFIC COAST HWY # 12,HARBOR CITY,CA,90710,"(34.0, -118.0)",7
FA0291604,Open,99 MARKET,PR0247481,99 MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1050 W GARVEY AVE,MONTEREY PARK,CA,91754,None,None,OW0276526,SUNG HO LEE,1050 W GARVEY AVE,MONTEREY PARK,CA,91754-2510,None,8
FA0303951,Open,ACE MARKET,PR0261788,ACE MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",672 FAIRFLEX DR,POMONA,CA,91768,None,None,OW0286433,SJPARK CORPORATION,672 FAIRFLEX DR,POMONA,CA,91768,None,9
FA0303428,Open,AFC SUSHI @ RALPH'S,PR0261178,AFC SUSHI @ RALPH'S,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",11825 WHITTIER BLVD,WHITTIER,CA,90601,None,None,OW0001761,ADVANCED FRESH CONCEPTS FRANCHISE CORP,19205 S LAUREL PARK RD,RANCHO DOMINGUEZ,CA,90220,None,11
FA0295803,Open,AMIGO MARKET,PR0252345,AMIGO MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",2609 W TEMPLE ST,LOS ANGELES,CA,90026,None,None,OW0279928,JESSICA VALDEZ,2609 W TEMPLE ST,LOS ANGELES,CA,90026,None,13
FA0004063,Open,ARCO AM/PM,PR0017818,ARCO AM/PM,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1333 W MERCED AVE,WEST COVINA,CA,91790,34.061345155,-117.9456237509,OW0032732,"SHOKER, TRADING CORPORATION",1333  W MERCED AVE,WEST COVINA,CA,91790,"(34.061345155, -117.9456237509)",16
