Vendor,Address,Second Address,City,Zip_Code_Old,County,Longitude,Latitude
Pavilions #2989,14845 Ventura Blvd,None,Sherman Oaks,91403,Los Angeles,-118.4566,34.15333
Aaa Healthy Nutrition,7728 Garvey Avenue Suite 1,.,Rosemead,91770,Los Angeles,-118.1013,34.06221
La Mexicana Market,2090 Santa Fe Ave,None,Long Beach,90810,Los Angeles,-118.2152,33.79515
Family Discount Store,1727  W 7Th St,None,Los Angeles,90017,Los Angeles,-118.2731,34.05489
Amir Happy Nutrition,14712 Parthenia Street Suite C,None,Panorama City,91402,Los Angeles,-118.4544,34.22776
Secoya Market,15233 Gale Avenue,None,City Of Industry,91745,Los Angeles,-117.974,34.01513
Carniceria Las Glorias #2,632 E. Foothill Blvd,None,Azusa,91702,Los Angeles,-117.899,34.13303
Soto Kid'S Nutrition,1260 South Soto Street Suite #2,None,Los Angeles,90023,Los Angeles,-118.219,34.0272
Calimex Market,2901 Whittier Blvd Suite K,.,Los Angeles,90023,Los Angeles,-118.2085,34.03139
La Ternera Market,6841 Lennox Ave,None,Van Nuys,91405,Los Angeles,-118.4462,34.19508
Numero Uno Market #121,970 W. 1St St,None,San Pedro,90731,Los Angeles,-118.2982,33.7439
Angelitos Nutrition,5985 E. Florence Ave Ste M,None,Bell Gardens,90201,Los Angeles,-118.1579,33.96766
Young'S Market & Restaurant,851 & 853 W Gardena Blvd,None,Gardena,90247,Los Angeles,None,None
Target Store T-0190,5700 Firestone Blvd,None,South Gate,90280,Los Angeles,-118.1684,33.94808
El Super #07,7000 Alameda St,None,Huntington Park,90255,Los Angeles,-118.2341,33.97592
Smile Food,16 E. Market St,None,Long Beach,90805,Los Angeles,-118.1959,33.85403
Angelitos Nutrition,2526 South San Pedro Street,None,Los Angeles,90011,Los Angeles,-118.261,34.02181
Numero Uno Market #118,10951 Rosecrans Ave,None,Norwalk,90650,Los Angeles,-118.1012,33.90256
Rancho Fiesta Meat Market,2116 North Santa Fe Ave,None,Compton,90222,Los Angeles,-118.2162,33.91182
Health Nutrition Product,4158  S Central Ave,None,Los Angeles,90011,Los Angeles,-118.2564,34.00805
M G Meat Market,4907 Maplewood Ave,None,Los Angeles,90004,Los Angeles,-118.3095,34.08052
Superior Grocers #103,3831 East Martin L. King Jr Blvd,None,Lynwood,90262,Los Angeles,-118.1977,33.92896
Superior Grocers #101,10211 South Avalon Blvd,None,Los Angeles,90003,Los Angeles,-118.2654,33.94339
Superior Grocers #107,6010 South Pacific Blvd,None,Huntington Park,90255,Los Angeles,-118.2237,33.98652
Superior Grocers #105,7300 Atlantic Avenue,None,Cudahy,90201,Los Angeles,-118.1865,33.96839
Superior Grocers #112,111 E Compton Blvd,None,Compton,90220,Los Angeles,-118.2229,33.89659
Superior Grocers #113,3600 Cesar E. Chavez Avenue,None,Los Angeles,90063,Los Angeles,-118.1864,34.03991
Superior Grocers #116,5824 Vermont Avenue,None,Los Angeles,90044,Los Angeles,-118.2912,33.98801
Superior Grocers #117,1033 Long Beach Blvd,None,Long Beach,90813,Los Angeles,-118.1901,33.78006
Superior Grocers #118,6140 Lankershim Blvd,None,North Hollywood,91606,Los Angeles,-118.384,34.18268
Superior Grocers #119,5450 Cherry Avenue,None,Long Beach,90805,Los Angeles,-118.1666,33.85574
Superior Grocers #123,11202 South Crenshaw Blvd,None,Inglewood,90303,Los Angeles,-118.3256,33.93301
Superior Grocers #133,1010 East Avenue J,None,Lancaster,93535,Los Angeles,-118.1116,34.68806
Superior Grocers #137,38360 East 20Th Street,None,Palmdale,93550,Los Angeles,-118.092,34.57902
Superior Grocers #140,16100 Lakewood Blvd,None,Bellflower,90706,Los Angeles,-118.1419,33.8884
Superior Grocers #144,3180 North Garey Avenue,None,Pomona,91767,Los Angeles,-117.7479,34.10574
Superior Grocers #142,15000 Crenshaw Blvd,None,Gardena,90249,Los Angeles,-118.3262,33.89529
El Super #09,1575 E Holt Ave,None,Pomona,91767,Los Angeles,-117.7198,34.06416
El Super #05,12727 Sherman Way,None,North Hollywood,91605,Los Angeles,-118.4107,34.2025
Superior Grocers #102,7316 South Compton Avenue,None,Los Angeles,90001,Los Angeles,-118.247,33.97311
Superior Grocers #106,1201 W Whittier Blvd,None,Montebello,90640,Los Angeles,-118.1135,34.00978
Superior Grocers #108,8811 South Western Avenue,None,Los Angeles,90047,Los Angeles,-118.3095,33.95752
Superior Grocers #111,9801 Laurel Canyon Blvd,None,Pacoima,91331,Los Angeles,-118.4216,34.247
Superior Grocers #115,1375 N Citrus Ave,None,Covina,91722,Los Angeles,-117.891,34.1049
Superior Grocers #114,151 South Hacienda Blvd,None,City Of Industry,91745,Los Angeles,-117.9584,34.02212
