Vendor,Address,Second Address,City,Zip_Code_Old,County,Longitude,Latitude
Vallarta Supermarkets #18,10161 San Fernando Rd,None,Pacoima,91331,Los Angeles,-118.4108,34.25504
Vallarta Supermarkets #11,21208 Sherman Way,None,Canoga Park,91303,Los Angeles,-118.5949,34.20061
Ralphs #291,4760 W Pico Blvd,None,Los Angeles,90019,Los Angeles,-118.3394,34.04771
Vallarta Supermarket #17,10950 Sherman Way,None,Burbank,91505,Los Angeles,-118.3678,34.20043
Vallarta Supermarket #20,1803 E Palmdale Blvd,None,Palmdale,93550,Los Angeles,-118.0959,34.58083
Vallarta Supermarket #01,13051 Victory Blvd,None,North Hollywood,91606,Los Angeles,-118.4169,34.18899
Vallarta Supermarkets #15,13940 Ramona Blvd,None,Baldwin Park,91706,Los Angeles,-117.9687,34.08315
Vallarta Supermarket #14,1801 W Avenue I,None,Lancaster,93534,Los Angeles,-118.1633,34.7048
Vallarta Supermarket #27,815 East Avenue K,None,Lancaster,93535,Los Angeles,-118.114,34.67648
Mommy's Nutritional Center,312 N Gaffey St Unit 100,None,San Pedro,90731,Los Angeles,-118.2919,33.74542
Vallarta Supermarket #43,757 S Workman St,None,San Fernando,91340,Los Angeles,-118.4525,34.28268
Vallarta Supermarket #50,8510 Painter Ave Ste L,None,Whittier,90602,Los Angeles,-118.0343,33.96066
Vallarta Supermarket #48,7900 Imperial Hwy,None,Downey,90242,Los Angeles,-118.1542,33.92473
Vallarta Supermarket #51,655 N Fair Oaks Ave,None,Pasadena,91103,Los Angeles,-118.1522,34.15674
Palomino Market,6159 Heliotrope Ave,None,Maywood,90270,Los Angeles,-118.1801,33.98126
Torito Market,10804 Juniper Street,None,Los Angeles,90059,Los Angeles,-118.2328,33.93739
Walnut Produce Market,2690 E Florence Ave,None,Huntington Park,90255,Los Angeles,-118.2226,33.9737
Vallarta Supermarket #19,23449 Lyons Ave,None,Valencia,91355,Los Angeles,-118.5436,34.38047
East 15Th Street Market,1732 E 15Th St,None,Long Beach,90813,Los Angeles,-118.1703,33.78607
La Poblana Carniceria,5928 East Whittier Blvd,None,Los Angeles,90022,Los Angeles,-118.1434,34.01729
Mommy's Nutritional Center,1644 W Carson St Ste D,None,Torrance,90501,Los Angeles,-118.3079,33.83104
Mommy's Nutritional Center #11,4455 117Th St Ste 102,None,Hawthorne,90250,Los Angeles,-118.3539,33.92838
Mommy's Nutritional Center,125 E Anaheim St Ste F,None,Wilmington,90744,Los Angeles,-118.2616,33.78043
Mommy's Nutritional Center,860 E Carson St Ste 112,None,Carson,90745,Los Angeles,-118.2598,33.83107
Food 4 Less #306,44455 Valley Central Way,None,Lancaster,93536,Los Angeles,-118.1739,34.69056
Food 4 Less #307,6901 Eastern Ave,None,Bell Gardens,90201,Los Angeles,-118.1661,33.97069
Food 4 Less #313,14500 Ocean Gate Ave,None,Hawthorne,90250,Los Angeles,-118.3665,33.8994
Food 4 Less #317,6700 Cherry Ave,None,Long Beach,90805,Los Angeles,-118.1677,33.87704
Food 4 Less #323,16530 Sherman Way,None,Van Nuys,91406,Los Angeles,-118.4942,34.20071
Food 4 Less #399,11507 S Western Ave,None,Los Angeles,90047,Los Angeles,-118.3106,33.92938
Food 4 Less #337,615 N Azusa Ave,None,West Covina,91791,Los Angeles,-117.9093,34.08166
Food 4 Less #376,19200 Soledad Canyon Rd,None,Santa Clarita,91351,Los Angeles,-118.4709,34.41409
Food 4 Less #314,8530 Tobias Ave,None,Panorama City,91402,Los Angeles,-118.451,34.22565
Food 4 Less #369,1821 N Hacienda Blvd,None,La Puente,91744,Los Angeles,-117.9445,34.05216
Food 4 Less #332,8035 Webb Ave,None,North Hollywood,91605,Los Angeles,-118.3897,34.2163
Food 4 Less #330,3654 E Olympic Blvd,None,Los Angeles,90023,Los Angeles,-118.1984,34.0179
Food 4 Less #396,3000 Baldwin Park Blvd,None,Baldwin Park,91706,Los Angeles,-117.9794,34.06839
Food 4 Less #358,2090 S Garey Ave,None,Pomona,91766,Los Angeles,-117.7489,34.0348
Food 4 Less #350,1299 W Artesia Blvd,None,Gardena,90248,Los Angeles,-118.2949,33.87366
Food 4 Less #354,16208 Parthenia St,None,North Hills,91343,Los Angeles,-118.4855,34.22805
Food 4 Less #772,1600 E Willow St,None,Signal Hill,90755,Los Angeles,-118.1714,33.80363
Food 4 Less #778,13525 Lakewood Blvd,None,Downey,90242,Los Angeles,-118.1444,33.90519
Food 4 Less #775,12222 Carson St,None,Hawaiian Gardens,90716,Los Angeles,-118.0704,33.83078
Food 4 Less #766,5100 N Figueroa St,None,Highland Park,90042,Los Angeles,-118.2001,34.10529
Ralphs #710,21431 Devonshire St,None,Chatsworth,91311,Los Angeles,-118.5985,34.25805
Ralphs #721,22333 Sherman Way,None,Canoga Park,91303,Los Angeles,-118.6135,34.20201
Ralphs #743,320 W Colorado Blvd,None,Pasadena,91105,Los Angeles,-118.157,34.14516
Ralphs #701,12842 Ventura Blvd,None,Studio City,91604,Los Angeles,-118.4131,34.14413
Ralphs #702,14440 Burbank Blvd,None,Van Nuys,91401,Los Angeles,-118.4471,34.17138
Ralphs #704,16940 Devonshire St,None,Granada Hills,91344,Los Angeles,-118.5015,34.25673
Ralphs #731,23841 W Malibu Rd,None,Malibu,90265,Los Angeles,-118.6949,34.03397
Ralphs #726,19340 Soledad Canyon Rd,None,Canyon Country,91351,Los Angeles,-118.4732,34.41471
Ralphs #720,30019 Hawthorne Blvd,None,Palos Verdes Peninsula,90274,Los Angeles,-118.3951,33.76115
Ralphs #727,25930 Mcbean Pkwy,None,Valencia,91355,Los Angeles,-118.5515,34.40487
Ralphs #251,2930 E Fourth St,None,Long Beach,90814,Los Angeles,-118.1575,33.77141
Ralphs #284,10772 Jefferson Blvd,None,Culver City,90230,Los Angeles,-118.393,34.00156
Food 4 Less #326,20155 Saticoy St,None,Canoga Park,91306,Los Angeles,-118.5728,34.20907
Ralphs #279,4700 Admiralty Way,None,Marina Del Rey,90292,Los Angeles,-118.4389,33.97968
Food 4 Less #375,1091 S Hoover St,None,Los Angeles,90006,Los Angeles,-118.2846,34.05112
Ralphs #274,1730 W Manchester Ave,None,Los Angeles,90047,Los Angeles,-118.3079,33.95929
Food 4 Less #767,12689 Glenoaks Blvd,None,Sylmar,91342,Los Angeles,-118.442,34.29974
Ralphs #269,11873 S Hawthorne Blvd,None,Hawthorne,90250,Los Angeles,-118.3541,33.92596
Food 4 Less #336,8620 Whittier Blvd,None,Pico Rivera,90660,Los Angeles,-118.0884,34.00181
Ralphs #283,5080 Rodeo Rd,None,Los Angeles,90016,Los Angeles,-118.3548,34.02038
Ralphs #256,650 E Carson St,None,Carson,90745,Los Angeles,-118.2648,33.83157
Ralphs #281,910 Lincoln Blvd,None,Venice,90291,Los Angeles,-118.4613,33.99925
Food 4 Less #338,11950 Garvey Ave,None,El Monte,91732,Los Angeles,-118.02,34.06185
Food 4 Less #381,1717 S Western Ave,None,Los Angeles,90006,Los Angeles,-118.3101,34.04216
Food 4 Less #322,1651 E 103Rd St,None,Los Angeles,90002,Los Angeles,-118.2441,33.94477
Food 4 Less #377,12765 Van Nuys Blvd,None,Pacoima,91331,Los Angeles,-118.4124,34.27541
Food 4 Less #341,4400 E Slauson Ave,None,Maywood,90270,Los Angeles,-118.1878,33.98737
Food 4 Less #327,1329 N Lake Ave,None,Pasadena,91104,Los Angeles,-118.1336,34.16825
Food 4 Less #378,11840 Wilmington Ave,None,Los Angeles,90059,Los Angeles,-118.2387,33.9252
Food 4 Less #324,11245 Long Beach Blvd,None,Lynwood,90262,Los Angeles,-118.2127,33.92867
Food 4 Less #321,6920 Santa Fe Ave,None,Huntington Park,90255,Los Angeles,-118.2296,33.97567
Food 4 Less #309,9635 Laurel Canyon Blvd,None,Pacoima,91331,Los Angeles,-118.4176,34.24386
Food 4 Less #379,1900 W Rosecrans Ave,None,Compton,90220,Los Angeles,-118.2892,33.90179
Ralphs #245,11825 Whittier Blvd,None,Whittier,90601,Los Angeles,-118.0496,33.98205
Ralphs #280,4311 Lincoln Blvd,None,Marina Del Rey,90292,Los Angeles,-118.4434,33.98448
Food 4 Less #344,5318 S Main St,None,Los Angeles,90037,Los Angeles,-118.2734,33.99401
Ralphs #289,5601 Wilshire Blvd,None,Los Angeles,90036,Los Angeles,-118.3509,34.06266
Ralphs #293,1233 North La Brea Ave,None,West Hollywood,90038,Los Angeles,-118.3446,34.09347
Ralphs #292,1644 Cloverfield Blvd,None,Santa Monica,90404,Los Angeles,-118.4739,34.02704
Food 4 Less #359,1748 W Jefferson Blvd,None,Los Angeles,90018,Los Angeles,-118.3076,34.02507
Food 4 Less #761,13413 Telegraph Rd,None,Whittier,90605,Los Angeles,-118.0449,33.94122
Patito Nutritional Center,1234 West Lomita Boulevard,Unit P,Harbor City,90710,Los Angeles,-118.2986,33.79775
Ralphs #712,1100 N San Fernando Blvd,None,Burbank,91504,Los Angeles,-118.3182,34.18905
El Ahorro Store,449 W Anaheim St Unit B,Unit B,Green,90037,Los Angeles,-118.2674,33.78003
Hawaii Supermarket,120 E Valley Blvd,None,San Gabriel,91776,Los Angeles,-118.0986,34.07925
Ralphs #728,2909 Rolling Hills Rd,None,Torrance,90505,Los Angeles,-118.3404,33.78941
Jon's Marketplace #02,6655 Van Nuys Blvd,None,Van Nuys,91405,Los Angeles,-118.4493,34.19223
Ralphs #724,9040 W Beverly Blvd,None,West Hollywood,90048,Los Angeles,-118.389,34.07665
Vallarta Supermarket #38,38118 47Th St,None,Palmdale,93552,Los Angeles,-118.0438,34.57485
Jon's Fresh Marketplace #09,1717 Glenoaks Blvd,None,Glendale,91201,Los Angeles,-118.2897,34.172
Ralphs #715,330 N Atlantic Blvd,None,Monterey Park,91754,Los Angeles,-118.1336,34.06531
Jon's Marketplace #14,600 E Colorado St,None,Glendale,91205,Los Angeles,-118.248,34.14245
Jon's Marketplace #15,20151 Roscoe Blvd,None,Winnetka,91306,Los Angeles,-118.5728,34.22103
Jon's Marketplace #16,12122 Magnolia Blvd,None,North Hollywood,91607,Los Angeles,-118.3974,34.16442
Jon's Marketplace #19,7134 Sepulveda Blvd,None,Van Nuys,91405,Los Angeles,-118.4656,34.20014
Jon's Fresh Marketplace #4,4848 W 190Th St,None,Torrance,90503,Los Angeles,-118.3635,33.85772
El Castillo Carniceria Food Mk,11924 Foothill Blvd,None,Sylmar,91342,Los Angeles,-118.3963,34.27563
Ralphs #709,11361 National Blvd,None,Los Angeles,90064,Los Angeles,-118.4334,34.02601
Ralphs #730,3601 E Foothill Blvd,None,Pasadena,91107,Los Angeles,-118.0755,34.15134
Big Saver Foods #08,7619 E Garvey Ave,None,Rosemead,91770,Los Angeles,-118.1029,34.06336
Big Saver Foods #15,1500 W Willow St,None,Long Beach,90810,Los Angeles,-118.2125,33.80355
Baja Ranch Market #5,475 East Orange Grove Blvd,None,Pasadena,91104,Los Angeles,-118.1406,34.15837
Baja Ranch Market #3,425 South Citrus Avenue,None,Covina,91723,Los Angeles,-117.8914,34.08189
