Vendor,Address,Second Address,City,Zip_Code_Old,County,Longitude,Latitude
Food 4 Less #326,20155 Saticoy St,None,Canoga Park,91306,Los Angeles,-118.5728,34.20907
Food 4 Less #344,5318 S Main St,None,Los Angeles,90037,Los Angeles,-118.2734,33.99401
Ralphs #712,1100 N San Fernando Blvd,None,Burbank,91504,Los Angeles,-118.3182,34.18905
Walmart #2297,25450 The Old Rd,None,Stevenson Ranch,91381,Los Angeles,-118.5692,34.38351
Target Store T-1547,800 New Los Angeles Ave,None,Moorpark,93021,Ventura,-118.8672,34.27827
Smart & Final #366,10100 S Crenshaw Blvd,None,Inglewood,90303,Los Angeles,-118.3258,33.94472
Smart & Final #369,20410 S Susana Rd,None,Carson,90810,Los Angeles,-118.2062,33.84609
Smart & Final #348,21600 S Vermont Ave,None,Torrance,90502,Los Angeles,-118.2893,33.8328
Walmart #5603,12270 Paramount Blvd,None,Downey,90242,Los Angeles,-118.1477,33.92812
Smart & Final #437,39212 10Th St West,None,Palmdale,93551,Los Angeles,-118.1449,34.59599
Smart & Final #598,4237 Woodruff Ave,None,Lakewood,90713,Los Angeles,-118.1179,33.83474
Smart & Final #482,15055 Mulberry Dr,None,Whittier,90604,Los Angeles,-118.0101,33.93563
Smart & Final #323,2040 Glenoaks Blvd,None,San Fernando,91340,Los Angeles,-118.4387,34.29857
Smart & Final #921,615 N Pacific Coast Hwy,None,Redondo Beach,90277,Los Angeles,-118.3904,33.8519
Smart & Final #920,5038 W Avenue N,None,Palmdale,93551,Los Angeles,-118.2204,34.62945
Smart & Final #817,17500 Crenshaw Blvd,None,Torrance,90504,Los Angeles,-118.3256,33.87185
Smart & Final #794,303 E Foothill Blvd,None,Azusa,91702,Los Angeles,-117.9046,34.13446
Vons #2261,3461 West Third Street,None,Los Angeles,90020,Los Angeles,-118.2909,34.07
Vons #3083,301 N Pass Ave,None,Burbank,91505,Los Angeles,-118.346395,34.154808
Vons #2123,777 Glendora Ave,None,West Covina,91790,Los Angeles,-117.932096,34.062399
Vons #2275,410 Manhattan Beach Blvd,None,Manhattan Beach,90266,Los Angeles,-118.40785,33.88506
Vons #2858,2355 E Colorado Blvd,None,Pasadena,91107,Los Angeles,-118.101885,34.146094
Vons #3075,1129 Fair Oaks Ave,None,South Pasadena,91030,Los Angeles,-118.151093,34.112869
Vons #2001,5671 Kanan Road,None,Agoura Hills,91301,Los Angeles,-118.757428,34.153397
Vons #2027,15740 La Forge St,None,Whittier,90603,Los Angeles,-117.994223,33.941129
Vons #2002,1311 Wilshire Blvd,None,Santa Monica,90403,Los Angeles,-118.489453,34.026301
Vons #2111,24160 Lyons Ave,None,Santa Clarita,91321,Los Angeles,-118.5576,34.37748
Pavilions #2228,1213 Fair Oaks Ave,None,South Pasadena,91030,Los Angeles,-118.151471,34.111632
Pavilions #2231,820 Montana Ave,None,Santa Monica,90403,Los Angeles,-118.500389,34.027973
Vons #2209,5500 Woodruff Ave,None,Lakewood,90713,Los Angeles,-118.115776,33.858068
Pavilions #2214,1110 W Alameda Ave,None,Burbank,91506,Los Angeles,-118.313607,34.161394
Vons #2030,25850 N The Old Rd,None,Valencia,91381,Los Angeles,-118.573497,34.390792
