year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,:@computed_region_bxsw_vy29,:@computed_region_he4y_prf8
2020,AL,Alabama,Autauga,01001,01001020200,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.6,6.8,8.5,2170,"{'type': 'Point', 'coordinates': [-86.47338874, 32.47425254]}",01001020200,HLTHOUT,COPD,CrdPrv,COPD,29,90
2020,AL,Alabama,Autauga,01001,01001020400,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,33.2,31.5,35.0,4386,"{'type': 'Point', 'coordinates': [-86.44370417, 32.47203959]}",01001020400,HLTHOUT,OBESITY,CrdPrv,Obesity,29,90
2020,AL,Alabama,Autauga,01001,01001021000,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.3,39.3,41.2,2894,"{'type': 'Point', 'coordinates': [-86.75607371, 32.60894544]}",01001021000,HLTHOUT,OBESITY,CrdPrv,Obesity,29,90
2020,AL,Alabama,Baldwin,01003,01003010905,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.9,2.7,3.2,8011,"{'type': 'Point', 'coordinates': [-87.75682132, 30.53592075]}",01003010905,HLTHOUT,STROKE,CrdPrv,Stroke,29,91
2020,AL,Alabama,Baldwin,01003,01003010906,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,27.6,26.3,28.9,4302,"{'type': 'Point', 'coordinates': [-87.68753351, 30.56418914]}",01003010906,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,91
2020,AL,Alabama,Barbour,01005,01005950200,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,37.9,35.3,40.4,4264,"{'type': 'Point', 'coordinates': [-85.45371481, 31.92042793]}",01005950200,RISKBEH,LPA,CrdPrv,Physical Inactivity,29,1488
2020,AL,Alabama,Barbour,01005,01005950600,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,46.4,45.3,47.5,2099,"{'type': 'Point', 'coordinates': [-85.26624633, 31.87747023]}",01005950600,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1488
2020,CA,California,San Mateo,06081,06081606900,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,19.8,18.6,21.0,2470,"{'type': 'Point', 'coordinates': [-122.3457299, 37.51997712]}",06081606900,HLTHOUT,OBESITY,CrdPrv,Obesity,8,1333
2020,AL,Alabama,Butler,01013,01013953200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.3,10.0,10.7,4327,"{'type': 'Point', 'coordinates': [-86.52411722, 31.77760789]}",01013953200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,29,1490
2020,AL,Alabama,Butler,01013,01013953500,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.7,74.3,79.0,1410,"{'type': 'Point', 'coordinates': [-86.61579756, 31.5784385]}",01013953500,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1490
2020,AL,Alabama,Calhoun,01015,01015000500,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,9.7,8.7,10.8,1814,"{'type': 'Point', 'coordinates': [-85.84524422, 33.66268536]}",01015000500,HLTHOUT,STROKE,CrdPrv,Stroke,29,1491
2020,AL,Alabama,Calhoun,01015,01015001000,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.1,32.7,35.4,5792,"{'type': 'Point', 'coordinates': [-85.78614647, 33.63020383]}",01015001000,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1491
2020,CO,Colorado,Denver,08031,08031004004,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,18.5,17.4,19.6,1808,"{'type': 'Point', 'coordinates': [-104.9218428, 39.64757054]}",08031004004,HLTHOUT,OBESITY,CrdPrv,Obesity,9,1444
2020,AL,Alabama,Chambers,01017,01017953800,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,35.6,34.4,36.8,3619,"{'type': 'Point', 'coordinates': [-85.39943446, 33.03865604]}",01017953800,RISKBEH,LPA,CrdPrv,Physical Inactivity,29,1492
2020,AL,Alabama,Chambers,01017,01017954000,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.2,4.8,5.6,6669,"{'type': 'Point', 'coordinates': [-85.46010298, 32.86128629]}",01017954000,HLTHOUT,STROKE,CrdPrv,Stroke,29,1492
2020,AL,Alabama,Chambers,01017,01017954400,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,48.2,46.4,49.8,995,"{'type': 'Point', 'coordinates': [-85.19709946, 32.84739271]}",01017954400,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1492
2020,AL,Alabama,Cherokee,01019,01019955800,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.3,39.9,42.6,5561,"{'type': 'Point', 'coordinates': [-85.75265146, 34.20428448]}",01019955800,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1493
2020,AL,Alabama,Cherokee,01019,01019956100,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.5,40.9,43.8,4972,"{'type': 'Point', 'coordinates': [-85.50186048, 34.07499679]}",01019956100,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1493
2020,AL,Alabama,Chilton,01021,01021060300,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,28.2,27.1,29.3,3808,"{'type': 'Point', 'coordinates': [-86.6056061, 32.98006774]}",01021060300,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,94
2020,AL,Alabama,Chilton,01021,01021060500,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.5,4.3,4.9,2902,"{'type': 'Point', 'coordinates': [-86.89884229, 32.76311085]}",01021060500,HLTHOUT,STROKE,CrdPrv,Stroke,29,94
2020,AL,Alabama,Choctaw,01023,01023956800,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.7,39.5,41.9,4423,"{'type': 'Point', 'coordinates': [-88.2124861, 32.06636835]}",01023956800,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1494
2020,AL,Alabama,Cleburne,01029,01029959500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,9.6,10.5,2684,"{'type': 'Point', 'coordinates': [-85.47008908, 33.82445601]}",01029959500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,29,1497
2020,AL,Alabama,Coffee,01031,01031010900,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,26.7,25.5,28.0,2117,"{'type': 'Point', 'coordinates': [-85.8740619, 31.28707604]}",01031010900,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,95
2020,AL,Alabama,Colbert,01033,01033020300,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,13.5,12.2,14.8,2032,"{'type': 'Point', 'coordinates': [-87.69788196, 34.75301779]}",01033020300,HLTHOUT,COPD,CrdPrv,COPD,29,1498
2020,AL,Alabama,Colbert,01033,01033020500,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,17.8,12.7,22.7,5221,"{'type': 'Point', 'coordinates': [-87.72653182, 34.71878225]}",01033020500,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,29,1498
2020,AL,Alabama,Colbert,01033,01033020902,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,34.3,32.8,35.6,3972,"{'type': 'Point', 'coordinates': [-87.82335697, 34.66625042]}",01033020902,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,29,1498
2020,AL,Alabama,Crenshaw,01041,01041963600,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.4,39.3,41.4,3180,"{'type': 'Point', 'coordinates': [-86.36923855, 31.72464193]}",01041963600,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1540
2020,AL,Alabama,Cullman,01043,01043964400,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,39.2,33.3,45.2,4112,"{'type': 'Point', 'coordinates': [-86.94082584, 34.26942488]}",01043964400,PREVENT,COREM,CrdPrv,Core preventive services for older men,29,1541
2020,AL,Alabama,Dallas,01047,01047956100,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,3.4,3.9,6753,"{'type': 'Point', 'coordinates': [-86.9413419, 32.49025314]}",01047956100,HLTHOUT,STROKE,CrdPrv,Stroke,29,1542
2020,AL,Alabama,Dallas,01047,01047956300,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,82.4,79.4,85.0,3791,"{'type': 'Point', 'coordinates': [-87.05089549, 32.44817476]}",01047956300,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1542
2020,AL,Alabama,Dallas,01047,01047956600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,12.3,11.6,13.0,3811,"{'type': 'Point', 'coordinates': [-87.02816549, 32.41621848]}",01047956600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,29,1542
2020,AL,Alabama,DeKalb,01049,01049960100,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.8,38.8,40.6,5937,"{'type': 'Point', 'coordinates': [-85.63653943, 34.72941568]}",01049960100,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1543
2020,AL,Alabama,DeKalb,01049,01049961400,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.4,41.0,43.7,4304,"{'type': 'Point', 'coordinates': [-85.58970817, 34.5863248]}",01049961400,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1543
2020,AL,Alabama,Elmore,01051,01051030300,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.6,35.3,37.9,2464,"{'type': 'Point', 'coordinates': [-85.96992419, 32.70791578]}",01051030300,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1544
2020,AL,Alabama,Elmore,01051,01051031100,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,78.3,75.0,81.2,4221,"{'type': 'Point', 'coordinates': [-86.3563057, 32.51075266]}",01051031100,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1544
2020,AL,Alabama,Etowah,01055,01055000300,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,24.2,23.0,25.6,2684,"{'type': 'Point', 'coordinates': [-86.00644553, 34.02971299]}",01055000300,HLTHOUT,DIABETES,CrdPrv,Diabetes,29,98
2020,AL,Alabama,Etowah,01055,01055000900,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.9,40.5,43.1,2698,"{'type': 'Point', 'coordinates': [-86.04349975, 34.00046242]}",01055000900,HLTHOUT,OBESITY,CrdPrv,Obesity,29,98
2020,AL,Alabama,Etowah,01055,01055010100,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,31.0,29.8,32.1,2059,"{'type': 'Point', 'coordinates': [-86.06619687, 34.06403646]}",01055010100,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,29,98
2020,AL,Alabama,Etowah,01055,01055010502,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,26.4,25.0,28.0,4988,"{'type': 'Point', 'coordinates': [-85.93071582, 33.93714756]}",01055010502,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,98
2020,AL,Alabama,Etowah,01055,01055011002,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,10.0,9.0,11.0,4765,"{'type': 'Point', 'coordinates': [-86.15748356, 34.11825273]}",01055011002,HLTHOUT,COPD,CrdPrv,COPD,29,98
